Genus,Species,q,r,Vr,CVN,MA_Yr,RW-Yr,EX_Yr,RL_Yr,GL_Yr,TL_Yr,MA_G,RW_G,EX_G,RL_G,GL_G,TL_G,TI,BS,RA,HI,EF,DE,Mass,Len,Wing,RepT,MinAge,Lifesp,GenF,Gen,RepG,DispA,DirL,IndL,Sev,RanD,N,Dist,Den,Fert,NTr,TrL,Spec,Hum,Status,LegProt
Desmognathus,aeneus,14,0.015938825,0.275218076,0.526402571,8.846403808,12.30714398,11.11313945,5.836657829,5.924579001,5.444679001,8.506196337,20.72326584,18.85976909,6.482532423,6.674226639,5.931610654,0,3.688879454,0.25,0.2,0.642857143,1,3.5,40,,2,54,180,,,5,4,1,1,1,1,1,2,,14,2,5,1,2,LC,1
Desmognathus,monticola,14,0.007525751,0.17002622,0.28259349,4.839519268,10.56594453,9.945564455,4.908471668,4.716136634,4.758553299,5.165225486,18.89617395,17.46948063,5.19172143,4.943584594,4.996788454,0,4.605170186,0.5,0.4,0.642857143,1,10,100,,2,60,120,,,5,4,1,1,2,1,1,3,,15,2,5,1,2,LC,1
Desmognathus,ochrophaeus,14,0.036487545,0.216673562,0.313819745,6.576336039,11.35936255,8.799301415,5.249600207,5.176740744,5.075822511,8.868779655,20.02280787,14.28866002,5.736708375,5.599991725,5.346463519,0,3.401197382,0.25,0.4,0.642857143,1,2,30,,2,54,120,,,5,4,1,1,2,1,1,2,,30,2,5,1,2,LC,1
Desmognathus,quadramaculatus,14,-0.039972556,0.447926289,0.437684872,7.698026325,14.45971877,17.85319011,5.940451819,6.24600619,20.72326584,7.484674402,20.72326584,20.72326584,7.722423435,7.061555306,20.72326584,0,5.347107531,0.5,0.4,0.642857143,1,80,210,,2,60,180,,,5,4,1,1,2,1,1,3,,60,2,5,1,2,LC,1
Eurycea,quadridigitata,15,-0.153505673,1.697480099,2.639074638,16.42298587,20.72326584,20.72326584,17.87981372,10.87179686,20.72326584,6.255939042,20.72326584,20.72326584,4.364708794,13.46240246,20.72326584,0,4.248495242,0.5,0.4,0.642857143,0.833333333,2,70,,2,24,96,,,5,4,1,1,2,1,1,3,,60,2,5,1,2,LC,1
Plethodon,cinereus,10,-0.001005034,0.140102101,0.231173061,5.055546369,10.04646412,9.997850062,4.764610903,4.563658253,4.812991986,5.378361918,12.35279387,12.40950109,4.930018113,4.737500348,5.024006095,0,4.700480366,0.25,0.4,0.642857143,0.833333333,5,110,,2,24,180,,,5,4,1,1,2,1,1,2,,15,2,5,1,2,LC,1
Plethodon,glutinosus,14,0.068250818,0.754013353,0.478118347,8.124565397,17.7964738,12.90987085,7.393247304,6.510268119,6.278845296,7.513974428,20.72326584,20.72326584,7.821866259,7.291655262,7.13169127,0,4.605170186,0.25,0.4,0.642857143,0.833333333,5,100,,2,36,180,,,5,4,1,1,2,1,1,2,,12,2,5,1,2,LC,1
Plethodon,jordani,14,0.020548719,0.083035819,0.207620726,5.455774801,8.609584958,7.101709096,4.689758248,4.683469298,4.663935063,6.327071729,12.34551837,9.9778821,4.856041003,4.804952922,4.819963119,0,4.86753445,0.25,0.4,0.642857143,0.833333333,10,130,,2,36,180,,,5,4,1,1,2,1,1,2,,14,2,5,1,2,LC,1
Notophthalmus,viridescens,15,0.092419624,1.073655552,1.215156828,11.39241938,20.53675647,13.672783,10.0822049,6.794045672,6.874342714,8.313196748,20.72326584,20.72326584,13.97838778,7.46209112,7.596229998,0,4.9698133,0.25,0.4,0.642857143,0.666666667,50,144,,2,36,120,,,5,4,1,1,2,1,1,2,,300,2,5,1,2,LC,1
Triturus,helveticus,16,-0.15785804,0.73037803,0.94298706,16.56622868,17.72151784,20.72326584,13.48640464,11.20626857,17.37723801,15.90620872,20.72326584,20.72326584,17.33284767,14.44567423,20.72326584,0,4.382026635,0.25,0.4,0.642857143,0.666666667,15,80,,2,24,108,,,1,4,1,1,2,1,1,2,,150,2,5,1,2,LC,1
