AVAILABILITY,DATASOURCEID,MainID
"Restricted",7,20
"Restricted",7,43
"Restricted",8,21
"Restricted",8,22
"Restricted",8,23
"Restricted",8,24
"Restricted",8,25
"Restricted",8,26
"Restricted",8,27
"Restricted",8,28
"Restricted",8,29
"Restricted",8,30
"Restricted",8,31
"Restricted",8,32
"Restricted",8,33
"Restricted",8,34
"Restricted",8,35
"Restricted",8,36
"Restricted",8,37
"Restricted",8,38
"Restricted",8,39
"Restricted",8,40
"Restricted",8,41
"Restricted",8,6062
"Restricted",8,7038
"Restricted",15,1119
"Restricted",15,1120
"Restricted",15,1121
"Restricted",15,1122
"Restricted",15,1123
"Restricted",15,1124
"Restricted",15,1125
"Restricted",15,1126
"Restricted",15,1127
"Restricted",22,1278
"Restricted",22,1279
"Restricted",22,1280
"Restricted",22,1281
"Restricted",22,1282
"Restricted",22,1283
"Restricted",22,1284
"Restricted",22,1285
"Restricted",22,1286
"Restricted",22,1287
"Restricted",22,1288
"Restricted",22,1289
"Restricted",22,1290
"Restricted",22,1291
"Restricted",22,1292
"Restricted",22,1293
"Restricted",22,1294
"Restricted",22,1295
"Restricted",22,1296
"Restricted",22,1297
"Restricted",22,1298
"Restricted",22,1299
"Restricted",22,1300
"Restricted",22,1301
"Restricted",22,1302
"Restricted",22,1303
"Restricted",22,1304
"Restricted",22,1305
"Restricted",22,1306
"Restricted",22,1307
"Restricted",22,1308
"Restricted",22,1309
"Restricted",49,1407
"Restricted",49,1408
"Restricted",49,1409
"Restricted",49,1410
"Restricted",49,1411
"Restricted",49,1412
"Restricted",49,1413
"Restricted",49,1414
"Restricted",49,1415
"Restricted",49,1416
"Restricted",49,1417
"Restricted",49,1418
"Restricted",49,1419
"Restricted",49,1420
"Restricted",49,1421
"Restricted",49,1422
"Restricted",49,1423
"Restricted",49,1424
"Restricted",49,1425
"Restricted",49,1426
"Restricted",49,1427
"Restricted",49,1428
"Restricted",49,1429
"Restricted",49,1430
"Restricted",49,1431
"Restricted",49,1432
"Restricted",49,1433
"Restricted",49,1434
"Restricted",49,1435
"Restricted",49,1436
"Restricted",49,1437
"Restricted",49,1438
"Restricted",49,1439
"Restricted",49,1440
"Restricted",49,1441
"Restricted",49,1442
"Restricted",49,1443
"Restricted",49,1444
"Restricted",49,1445
"Restricted",49,1446
"Restricted",49,1447
"Restricted",49,1448
"Restricted",49,1449
"Restricted",49,1450
"Restricted",49,1451
"Restricted",49,1452
"Restricted",49,1453
"Restricted",49,1454
"Restricted",49,1455
"Restricted",49,1456
"Restricted",49,1457
"Restricted",49,1458
"Restricted",49,1459
"Restricted",49,1460
"Restricted",49,1461
"Restricted",49,1462
"Restricted",49,1463
