"taxonomic_class","n","n_orders","n_species","median_N","max_N","n_interpolated","n_zero_sub"
"Aves",227,15,113,26,117,68,32
"Insecta",182,7,91,25,87,26,55
"Mammalia",125,8,51,28,106,18,21
"Osteichthyes",109,6,36,26,67,14,4
"Crustacea",13,2,2,28,33,1,0
"Chondrichtyhes",1,1,1,20,20,1,0
"Gastropoda",1,1,1,21,21,0,0
